SK_precision,SK_accuracy,SK_TP,SK_FP,msSK_precision,msSK_accuracy,msSK_TP,msSK_FP,ConvRFI_precision,ConvRFI_accuracy,ConvRFI_TP,ConvRFI_FP,AOFlagger_precision,AOFlagger_accuracy,AOFlagger_TP,AOFlagger_FP
-inf,0.0,0.0,0.004467054516805316,-inf,0.0,0.0,0.019357236239489706,0.1768024609290597,0.6003929602405217,0.05755395683453238,0.03830652229479627,-0.05386235693996801,0.46903401703650954,0.020554984583761562,0.02326909605250829
-inf,0.0,0.0,0.008937470229156584,-inf,0.0,0.0,0.02085409720136536,0.22943097388445385,0.6290828727748641,0.06525911708253358,0.038477798841878325,0.05728090495736564,0.5329258216452276,0.026231605886116442,0.02299026481464123
-inf,0.0,0.0,0.007822825504554385,-inf,0.0,0.0,0.014900620008675019,0.028460496171938993,0.5163773178930102,0.041505791505791506,0.038873013038042505,0.07444039158255437,0.5427467277173049,0.02750965250965251,0.023176332508356084
-inf,0.0,0.0,0.007080269427988759,-inf,0.0,0.0,0.004471749112413954,0.058834749639973455,0.5338163019015337,0.0450381679389313,0.039331994190809946,0.1225997933808302,0.5701091407295429,0.028244274809160305,0.02129759847674665
-inf,0.0,0.0,0.005963968541087173,-inf,0.0,0.0,0.00894595281163076,0.01920918961334022,0.5110558960262195,0.04131147540983607,0.039524056928326425,0.29332252108623375,0.6627112674234432,0.04229508196721311,0.021526198952986516
-inf,0.0,0.0,0.006711482240301965,-inf,0.0,0.0,0.01342296448060393,-0.043287575014465826,0.47510227811795114,0.03578528827037773,0.03953594237523392,0.1716566158982509,0.5975468419860644,0.03351320647543311,0.02257144517136562
-inf,0.0,0.0,0.004102755373210872,-inf,0.0,0.0,0.011935288358431629,-0.09050778451965802,0.44808728186226027,0.03188044831880448,0.03926740525630406,0.16359182966729927,0.593073101896435,0.0361145703611457,0.024779390679515664
-1.479098189289354,0.03211626283128929,0.0002228163992869875,0.006714989548356102,-inf,0.0,0.0,0.010446533069614593,-1.043914863960537,0.08289077461874339,0.0035650623885918,0.039444095204509796,0.21287398956845002,0.6201442354390974,0.037210338680926915,0.022792377710655565
-inf,0.0,0.0,0.00485160492138828,-inf,0.0,0.0,0.010449610599913218,-0.08504438041320599,0.45120035994962193,0.031521519498888664,0.03833994848045459,0.28857683570310544,0.6602644061104683,0.04384724186704385,0.022561368776292574
-inf,0.0,0.0,0.0059727900548954636,-inf,0.0,0.0,0.011945580109790927,-0.1407696942708964,0.419668543474202,0.029082774049217,0.04021661591329227,0.37300009525432065,0.7024233527053054,0.049217002237136466,0.02085043223465701
-inf,0.0,0.0,0.0070946246198052305,-inf,0.0,0.0,0.0074680259155844525,-0.0985135288058013,0.4435329703285079,0.030564669314453462,0.038347162182121364,0.2308761293908408,0.6298589914152637,0.038853393196339146,0.022832466219650755
-inf,0.0,0.0,0.00747000804560798,-inf,0.0,0.0,0.013446014482094365,-0.16285458354535107,0.4073366503373796,0.027392845633258136,0.03985581861183203,0.3635648726840368,0.6978623262585754,0.05236867547534644,0.022672881440483607
0.9263265183836163,0.8940643229424727,0.07304634768261586,0.008655097960815674,-inf,0.0,0.0,0.013449980007996801,-0.14822662066818135,0.4154926558139275,0.028198590070496476,0.03966925229908037,0.24751760311771556,0.6387471020486745,0.046197690115494225,0.02612778888444622
-inf,0.0,0.0,0.008969275623484962,-inf,0.0,0.0,0.016443671976389098,-0.14765666901223284,0.41581140944295136,0.028635597978663673,0.04023119434198435,0.3239710629099591,0.6783001541234436,0.05081414935429534,0.024099808788559055
-inf,0.0,0.0,0.008597354866831249,-inf,0.0,0.0,0.013456729356779346,-0.10510830472301473,0.43978841274973507,0.030331499127633874,0.03863689169009839,0.8223182715208893,0.8691492835226087,0.15957589585290566,0.024024204703070585
-inf,0.0,0.0,0.008225662813128025,-inf,0.0,0.0,0.013460175512391313,-0.12007527207776159,0.4313160951544487,0.029168258820532415,0.0384579187049959,0.37861388786593,0.7051181675526537,0.05464272067252579,0.02285169542255437
-inf,0.0,0.0,0.009724307181539186,-inf,0.0,0.0,0.01795256710438004,-0.17879397406298303,0.39850735821408934,0.02456855225311601,0.037082887166271304,0.5990979922035611,0.7989065261027115,0.09012464046021093,0.022685353594868354
-inf,0.0,0.0,0.0041155743481324876,-inf,0.0,0.0,0.011972579921839964,-0.13383695865170414,0.4235612431315376,0.028677462887989204,0.03902812479979499,0.529444976729553,0.7719037383599751,0.07714799820062979,0.02279710423473637
-inf,0.0,0.0,0.008981558200381793,-inf,0.0,0.0,0.023950821867684782,-0.13939122980083093,0.42044176543159256,0.02926249865025375,0.040336910961717515,0.8413832962746315,0.874061454729274,0.1636972249217147,0.023586202388802272
-inf,0.0,0.0,0.009731804940890694,-inf,0.0,0.0,0.020960810641918418,-0.1895096413670703,0.3926081544868586,0.02524353199958102,0.03905348198520104,0.8326583636236098,0.8718333290616898,0.14947103802241543,0.021973472114956306
-inf,0.0,0.0,0.007862596888042622,-inf,0.0,0.0,0.014976375024843088,-0.16409021764828285,0.4066499735635915,0.025994801039792043,0.037929464863859876,0.8213184099815396,0.8688872269260064,0.15256948610277946,0.023022329929028907
-inf,0.0,0.0,0.006366722715373891,-inf,0.0,0.0,0.010486366825321702,-0.1817040925175341,0.39690228022088564,0.025397738163695612,0.038592164211168956,0.8230519430135821,0.8693412904782142,0.16024535173471344,0.02408427057801993
0.8058828401039348,0.8647848827639862,0.05044781575580333,0.007887866055104725,-inf,0.0,0.0,0.022478108862302337,-0.1766501690543139,0.39969117470703613,0.026503381465911167,0.039806267440741575,0.8343423243404445,0.8722659723503287,0.15746664229574117,0.02305930654007762
-inf,0.0,0.0,0.00636997437381381,-inf,0.0,0.0,0.00899290499832538,-0.1591853911022512,0.40937784904922453,0.02707034728406055,0.039055231681511544,1.0006420706498296,0.9092130188772855,0.22333036509349954,0.022300043244991217
0.47692828067842596,0.7499166771547167,0.016489178976296804,0.005498835797369698,-inf,0.0,0.0,0.011993725884832506,-0.16554542783751885,0.40584173996322875,0.02610786671246994,0.03822229980720702,1.0611358640368618,0.9200742005506101,0.2695809000343525,0.023418186205674943
-inf,0.0,0.0,0.008247999789434626,-0.23654396811947007,0.36710360738516706,0.011257346246171675,0.019407964635288575,-0.25992717582847513,0.3546859287460092,0.02185249565433325,0.03975833771476224,1.0504684893837435,0.9182491899784905,0.2659548050658058,0.02367769117634786
1.1222719122705989,0.9298329797997228,0.04491329017821466,0.003389244958674714,0.16131452130883442,0.5918069868596538,0.021497642451850076,0.01482778615777905,-0.17458425939293176,0.40083308703491977,0.024454567250059938,0.03655478562287169,1.0098394250165401,0.910946041672344,0.23567489810596978,0.02303954525810725
0.8263851502861557,0.870210601540224,0.04287031346035648,0.006393983463259968,-inf,0.0,0.0,0.007502685036254413,-0.19596698460289036,0.3890682060833442,0.02489244007375538,0.039087190450006935,1.0390160418918482,0.9162476800090744,0.24362323294406885,0.022269099729183905
-inf,0.0,0.0,0.004877939083587393,-inf,0.0,0.0,0.0060036173336460216,-0.18499371956023755,0.3950905541381772,0.02552810330671046,0.039085193668702355,1.045808204895824,0.9174400380053936,0.25849070687467346,0.023261447126211535
0.6812720634238669,0.8275963345468024,0.039735575195803695,0.00827765726681128,-inf,0.0,0.0,0.016515465574033904,-0.13990175621233317,0.4201553501600962,0.02823884457857297,0.038971639752550816,1.0761407268719743,0.9225783320250092,0.2715384062657182,0.022787177633164617
-inf,0.0,0.0,0.006383276946005758,-inf,0.0,0.0,0.019525317717194086,-0.14615971635015396,0.4166489364931975,0.027973476999585578,0.0391657247346838,1.085436146340568,0.9240933704212857,0.2836027075562923,0.02329561747659958
1.0757504766612183,0.9225141239688426,0.07633846780213069,0.006411991858808853,-inf,0.0,0.0,0.010515383700254975,-0.19054828294960097,0.3920379929282999,0.02551401234986768,0.03956644620286742,1.0242658278617558,0.9136042674016882,0.27305421727624346,0.02582159473459138
0.9699449126054682,0.903207315721422,0.07386289159785031,0.007915555401168454,0.10393982966242934,0.5595486062147841,0.02451173155066195,0.01929452813511959,-0.20487732064259517,0.38420272570243863,0.025101586053217984,0.04023263563228595,1.180272718065282,0.9380617795672663,0.33674138157032374,0.022234315878584838
