SK_precision,SK_accuracy,SK_TP,SK_FP,msSK_precision,msSK_accuracy,msSK_TP,msSK_FP,ConvRFI_precision,ConvRFI_accuracy,ConvRFI_TP,ConvRFI_FP,AOFlagger_precision,AOFlagger_accuracy,AOFlagger_TP,AOFlagger_FP
-inf,0.0,0.0,0.0029771083815286737,-inf,0.0,0.0,0.00893132514458602,0.49869073848967477,0.7591962205645866,0.12190082644628099,0.03866481277097931,0.04102948672157703,0.523600919931808,0.026859504132231406,0.02443816000428214
-inf,0.0,0.0,0.00484730541024919,-inf,0.0,0.0,0.01789774305322778,-0.08489116597869058,0.4512877186368265,0.030609379387812413,0.037217370873134294,0.24441035526126642,0.6370945263978243,0.040718899185622014,0.023194535161160774
-inf,0.0,0.0,0.005602344798740879,-inf,0.0,0.0,0.014939586129975679,-0.1607461422937469,0.40850920559425913,0.027268300600551857,0.0394824610154186,0.4348132713225534,0.7312933779130539,0.06313910079532543,0.023199847022731066
-inf,0.0,0.0,0.010853689876447635,-inf,0.0,0.0,0.028444152779655868,-0.1032328109587287,0.44085265243424554,0.030103180512711415,0.03818081493676905,0.9605526188233997,0.9013000820209748,0.21412615679183067,0.023448609995827967
-inf,0.0,0.0,0.00562560807621543,0.7642652253152766,0.8531828204728218,0.06660331036667459,0.011461213166234793,-0.18620200935945935,0.39442582182907504,0.02581769224677279,0.039638702385424794,1.1020154019295216,0.9267281818416644,0.3054565613368179,0.024150940972857724
-inf,0.0,0.0,0.004506992977760227,-inf,0.0,0.0,0.01201864794069394,-0.33132534440332356,0.3180159354177232,0.019092436974789916,0.04094366451714143,1.0902896827032158,0.9248735804893458,0.2849075630252101,0.023142714369963156
0.6020158019890334,0.7999837195489607,0.03170674210278171,0.007927492104707294,0.8587072947993546,0.8783873436450204,0.1712046204620462,0.023703265791873387,0.18929309094021732,0.6072729333572732,0.06176331918906176,0.03994271082878678,1.1173335829218134,0.9290874639557843,0.33097595473833097,0.02526171671741292
1.032702716638531,0.9151253727231916,0.08611757242545993,0.00798709890410323,0.9340341356130025,0.8957335245487917,0.21082681327976316,0.024540969103912885,0.35488828614881074,0.6936332560469273,0.09748361175724254,0.04305695619765861,1.1917102911378812,0.9395744114099198,0.3647705646013956,0.023458999945837063
1.2519047360584203,0.9469804222710948,0.10295234478830453,0.00576409999457618,1.35219880294182,0.9574483362113265,0.2858363394721853,0.012703360960377705,0.7008860519127484,0.8339451912226247,0.22778621606227453,0.04535669363940896,1.1828042483997843,0.938399595562743,0.3128915891399279,0.02053948928279022
1.2684683536332482,0.9488630097993097,0.14287585123101101,0.007699995604065981,1.09377776160852,0.9254297347362322,0.14248297537978,0.011481145321821158,0.82548438918159,0.8699761665961789,0.33612711716430943,0.05023647539181994,1.1773987062411453,0.9376761648172334,0.3180548280076829,0.0211399174081573
